GUBERNATORIAL National Summary 1970
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1970,General,Alaska,"37,264","Miller, Keith",Challenger,"42,309","Egan, William A.",Challenger,N/A,N/A,N/A,N/A,"1,206","5,045",D,.00,46.83,53.17,
Governor,N/A,1970,General,Alabama,N/A,N/A,N/A,"637,046","Wallace, George C.",Challenger,N/A,N/A,N/A,N/A,"217,906","637,046",D,.00,.00,100.00,
Governor,N/A,1970,General,Arkansas,"196,418","Rockefeller, Winthrop",Incumbent,"375,648","Bumpers, Dale",Challenger,N/A,N/A,N/A,N/A,"36,132","179,230",D,.00,34.33,65.67,
Governor,N/A,1970,General,Arizona,"209,522","Williams, Jack R.",Incumbent,"201,887","Castro, Raul H.",Challenger,N/A,N/A,N/A,N/A,N/A,"7,635",R,.00,50.93,49.07,
Governor,N/A,1970,General,California,"3,439,664","Reagan, Ronald",Incumbent,"2,938,807","Unruh, Jess",Challenger,N/A,N/A,N/A,N/A,"131,801","500,857",R,.00,53.93,46.07,
Governor,N/A,1970,General,Colorado,"350,690","Love, John A.",Incumbent,"302,432","Hogan, Mark",Challenger,N/A,N/A,N/A,N/A,"15,374","48,258",R,.00,53.69,46.31,
Governor,N/A,1970,General,Connecticut,"582,160","Meskill, Thomas J.",Challenger,"500,561","Daddario, Emilio Q.",Challenger,N/A,N/A,N/A,N/A,76,"81,599",R,.00,53.77,46.23,
Governor,N/A,1970,General,Florida,"746,243","Kirk, Claude R. Jr.",Incumbent,"984,305","Askew, Reubin",Challenger,N/A,N/A,N/A,N/A,265,"238,062",D,.00,43.12,56.88,
Governor,N/A,1970,General,Georgia,"424,983","Suit, Hal",Challenger,"620,419","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"1,261","195,436",D,.00,40.65,59.35,
Governor,N/A,1970,General,Hawaii,"101,249","King, Samuel P.",Challenger,"137,812","Burns, John A.",Incumbent,N/A,N/A,N/A,N/A,N/A,"36,563",D,.00,42.35,57.65,
Governor,N/A,1970,General,Iowa,"403,394","Ray, Robert E.",Incumbent,"368,911","Fulton, Robert",Challenger,N/A,N/A,N/A,N/A,"18,936","34,483",R,.00,52.23,47.77,
Governor,N/A,1970,General,Idaho,"117,108","Samuelson, Don",Incumbent,"128,004","Andrus, Cecil D.",Challenger,N/A,N/A,N/A,N/A,N/A,"10,896",D,.00,47.78,52.22,
Governor,N/A,1970,General,Kansas,"333,227","Frizzell, Kent",Challenger,"404,611","Docking, Robert",Incumbent,N/A,N/A,N/A,N/A,"7,358","71,384",D,.00,45.16,54.84,
Governor,N/A,1970,General,Massachusetts,"1,058,623","Sargent, Francis W.",Incumbent,"799,269","White, Kevin H.",Challenger,N/A,N/A,N/A,N/A,"10,014","259,354",R,.00,56.98,43.02,
Governor,N/A,1970,General,Maryland,"314,336","Blair, C. Stanley",Challenger,"639,579","Mandel, Marvin",Incumbent,N/A,N/A,N/A,N/A,"19,184","325,243",D,.00,32.95,67.05,
Governor,N/A,1970,General,Maine,"162,248","Erwin, James S.",Challenger,"163,138","Curtis, Kenneth M.",Incumbent,N/A,N/A,N/A,N/A,N/A,890,D,.00,49.86,50.14,
Governor,N/A,1970,General,Michigan,"1,338,711","Milliken, William G.",Incumbent,"1,294,600","Levin, Sander M.",Challenger,N/A,N/A,N/A,N/A,"22,782","44,111",R,.00,50.84,49.16,
Governor,N/A,1970,General,Minnesota,"621,780","Head, Douglas M.",Challenger,"737,921","Anderson, Wendell R.",Challenger,N/A,N/A,N/A,N/A,"5,742","116,141",D,.00,45.73,54.27,
Governor,N/A,1970,General,Nebraska,"201,994","Tiemann, Norbert T.",Incumbent,"248,552","Exon, J. James",Challenger,N/A,N/A,N/A,N/A,"11,073","46,558",D,.00,44.83,55.17,
Governor,N/A,1970,General,New Hampshire,"102,298","Peterson, Walter R.",Incumbent,"98,098","Crowley, Roger J.",Challenger,N/A,N/A,N/A,N/A,"22,045","4,200",R,.00,51.05,48.95,
Governor,N/A,1970,General,New Mexico,"134,640","Domenici, Peter V.",Challenger,"148,835","King, Bruce",Challenger,N/A,N/A,N/A,N/A,"6,900","14,195",D,.00,47.50,52.50,
Governor,N/A,1970,General,Nevada,"64,400","Fike, Ed",Challenger,"70,697","O'Callaghan, Mike",Challenger,N/A,N/A,N/A,N/A,"11,894","6,297",D,.00,47.67,52.33,
Governor,N/A,1970,General,New York,"3,151,432","Rockefeller, Nelson A.",Incumbent,"2,421,426","Goldberg, Arthur J.",Challenger,N/A,N/A,N/A,N/A,"440,206","730,006",R,.00,56.55,43.45,
Governor,N/A,1970,General,Ohio,"1,382,657","Cloud, Roger",Challenger,"1,725,560","Gilligan, John J.",Challenger,N/A,N/A,N/A,N/A,"75,914","342,903",D,.00,44.48,55.52,
Governor,N/A,1970,General,Oklahoma,"336,157","Bartlett, Dewey F.",Incumbent,"338,338","Hall, David",Challenger,N/A,N/A,N/A,N/A,"24,295","2,181",D,.00,49.84,50.16,
Governor,N/A,1970,General,Oregon,"369,964","McCall, Tom",Incumbent,"293,892","Straub, Robert W.",Challenger,N/A,N/A,N/A,N/A,"2,538","76,072",R,.00,55.73,44.27,
Governor,N/A,1970,General,Pennsylvania,"1,542,854","Broderick, Raymond",Challenger,"2,043,029","Shapp, Milton J.",Incumbent,N/A,N/A,N/A,N/A,"114,177","500,175",D,.00,43.03,56.97,
Governor,N/A,1970,General,Rhode Island,"171,549","DeSimone, Herbert F.",Challenger,"173,420","Licht, Frank",Incumbent,N/A,N/A,N/A,N/A,"1,373","1,871",D,.00,49.73,50.27,
Governor,N/A,1970,General,South Carolina,"221,233","Watson, Albert W.",Challenger,"249,951","West, John C.",Challenger,N/A,N/A,N/A,N/A,"13,073","28,718",D,.00,46.95,53.05,
